timestamp,elapsed_s,cpu_percent_total,proc_rss_mb,sys_mem_percent,disk_used_gb,disk_free_gb
2026-02-22 03:43:49,93.875,14.6,12.19,5.8,29.138,160.862
2026-02-22 03:43:49,94.377,16.6,12.19,5.8,29.138,160.862
2026-02-22 03:43:50,94.879,15.4,12.19,5.8,29.138,160.862
2026-02-22 03:43:50,95.381,16.4,12.19,5.8,29.138,160.862
2026-02-22 03:43:51,95.883,14.6,12.19,5.8,29.138,160.862
2026-02-22 03:43:51,96.385,14.7,12.19,5.8,29.138,160.862
2026-02-22 03:43:52,96.886,15.7,12.19,5.8,29.138,160.862
2026-02-22 03:43:52,97.388,15.6,12.19,5.8,29.138,160.862
2026-02-22 03:43:53,97.89,15.0,12.19,5.8,29.138,160.862
2026-02-22 03:43:53,98.392,16.3,12.19,5.8,29.138,160.862
2026-02-22 03:43:54,98.894,14.5,12.19,5.8,29.138,160.862
2026-02-22 03:43:54,99.396,16.3,12.19,5.8,29.138,160.862
2026-02-22 03:43:55,99.898,14.9,12.19,5.8,29.138,160.862
2026-02-22 03:43:55,100.399,16.7,12.19,5.8,29.138,160.862
2026-02-22 03:43:56,100.901,14.6,12.19,5.8,29.138,160.862
2026-02-22 03:43:56,101.403,15.7,12.19,5.8,29.138,160.862
2026-02-22 03:43:57,101.905,15.3,12.19,5.8,29.138,160.862
2026-02-22 03:43:57,102.407,15.7,12.19,5.8,29.138,160.862
2026-02-22 03:43:58,102.909,15.4,12.19,5.8,29.138,160.862
2026-02-22 03:43:58,103.411,16.1,12.19,5.8,29.138,160.862
2026-02-22 03:43:59,103.912,14.8,12.19,5.8,29.138,160.862
2026-02-22 03:43:59,104.414,14.6,12.19,5.9,29.138,160.862
2026-02-22 03:44:00,104.916,13.1,12.19,5.8,29.138,160.862
2026-02-22 03:44:00,105.418,11.0,12.19,5.8,29.138,160.862
2026-02-22 03:44:01,105.919,11.3,12.19,5.8,29.138,160.862
2026-02-22 03:44:01,106.421,12.9,12.19,5.8,29.138,160.862
2026-02-22 03:44:02,106.923,12.8,12.19,5.8,29.138,160.862
2026-02-22 03:44:02,107.425,12.8,12.19,5.8,29.138,160.862
2026-02-22 03:44:03,107.927,12.8,12.19,5.8,29.138,160.862
2026-02-22 03:44:03,108.428,12.9,12.19,5.8,29.138,160.862
2026-02-22 03:44:04,108.93,12.8,12.19,5.8,29.138,160.862
2026-02-22 03:44:04,109.432,12.7,12.19,5.8,29.138,160.862
2026-02-22 03:44:05,109.933,12.8,12.19,5.8,29.138,160.862
2026-02-22 03:44:06,110.435,12.8,12.19,5.8,29.138,160.862
2026-02-22 03:44:06,110.937,12.7,12.19,5.8,29.138,160.862
2026-02-22 03:44:07,111.44,12.9,12.19,5.8,29.138,160.862
2026-02-22 03:44:07,111.942,12.8,12.19,5.8,29.138,160.862
2026-02-22 03:44:08,112.443,12.7,12.19,5.8,29.138,160.862
2026-02-22 03:44:08,112.946,12.5,12.19,5.9,29.138,160.862
